id,name,text,trans
0-chapter_name,,虹になる,化作彩虹
0-synopsis,,サリエルは、元上司のバロワの持論「探し物というやつは、忘れた頃に見つかるものだ」に従い、久々にバロワの探偵業を手伝う。忙しくも楽しい日常を過ごす中、バロワの計らいでかつてのもぐら座の仲間・アズラエルとも再会する。血塗られた過去からは考えられない穏やかな時間を、サリエルはしみじみと噛みしめるのだった。,沙利叶遵从原上司巴洛瓦的论点「要找的东西总会在不经意间出现」，久违地开始协助巴洛瓦的侦探工作。在忙碌而愉快的日常中，经由巴洛瓦的安排，沙利叶还与曾经的鼹鼠剧团同伴亚兹拉尔重逢了。沙利叶深切地品味着这与他沾满鲜血的过去无法相提并论的宁静时光。
1,,『自分』を探して旅するサリエルは、\nそもそも自分探しとは何なのかという\n根本的な問題に頭を悩ませていた。,为了寻找『自我』而踏上旅途的沙利叶，\n正为寻找自我本身究竟意味着什么\n这一根本上的问题而烦恼不已。
2,,そんな中、街でファルシュと再会し、\n酒場で悩みについて語らっていると──,就在此时，他在城中与法尔什重逢，\n两人在酒馆里谈论着各自的烦恼——
3,バロワ/巴洛瓦,この名探偵バロワが、\nどんな問題も解決してみせよう！,就让我名侦探巴洛瓦\n来解决你们的一切难题吧！
4,,かつてサリエルを\n探偵としてスカウトした元上司、\nバロワが唐突に現れるのだった。,曾将沙利叶\n招揽为侦探的原上司——\n巴洛瓦突然现身。
5,サリエル/沙利叶,バロワ……！,巴洛瓦……！
6,サリエル/沙利叶,……扉、外れてる。,……门，掉下来了。
7,バロワ/巴洛瓦,<span class='scene-font-4'>なんだとッ！？</span>\n気合いを入れすぎたか……！？,<span class='scene-font-4'>什么！？</span>\n是我太用力了吗……！？
8,ファルシュ,やれやれ……\nいきなり問題を増やすとは。,哎呀哎呀……\n一上来就给人添麻烦啊。
9,,バロワは外れた扉を\n元通りにはめ込むと、\nファルシュに向き直る。,巴洛瓦将脱落的门板装回原位后，\n再次面向法尔什。
10,バロワ/巴洛瓦,ファルシュ君だね。\nその節はサリエル君が世話になった！,你是法尔什君吧。\n之前沙利叶君承蒙你照顾了！
11,バロワ/巴洛瓦,いやはや、感慨深いな！\n例の舞台は本当に素晴らしかったぞ！,哎呀哎呀，真是让我感慨万千！\n那场演出真是太精彩了！
12,ファルシュ,ああ、『ベナスの探偵』……\nオレ達もぐら座の公演を、\n２階席Ｂ列85番で観てたねぇ。,啊，你是说『威尼斯侦探』……\n你当时在二楼B列85号座\n看了我们鼹鼠剧团的演出呢。
13,サリエル/沙利叶,覚えてるの……？\nあの舞台に立ちながら？,你记得这么清楚……？\n明明那时你正站在舞台上？
14,ファルシュ,そりゃもちろん。\n客席を把握するのは当然だろう？,那当然。\n掌握观众席的情况是理所当然的吧？
15,バロワ/巴洛瓦,流石は元天才子役……\n現在は脚本家で演出家だったか？,不愧曾是天才童星……\n听说你现在既是编剧又是导演？
16,ファルシュ,ほうほう……！\nそちらは流石の名探偵ぶりだ。,哦哦……！\n阁下果然不负名侦探之名啊。
17,バロワ/巴洛瓦,フッ……\nお褒めに預かり光栄ですな。,呵……\n承蒙夸奖，不胜荣幸。
18,バロワ/巴洛瓦,（まぁ酒場の窓に耳を寄せたら、\nたまたまサリエル君との会話が\n聞こえただけなのだが……）,（其实我只是把耳朵贴在酒馆窗户上，\n碰巧听到了你和沙利叶君\n的对话而已……）
19,サリエル/沙利叶,それで……\nバロワはどうしてここに？,那么……\n巴洛瓦为什么会在这里？
20,バロワ/巴洛瓦,ああ、実は別件でこの街に\nひとりで滞在しているのだがな。,啊，其实我是因为有其他事\n一个人逗留在这座城市。
21,バロワ/巴洛瓦,どうにも妙な「自分探し」をする\n流浪者がいると聞きつけて……\n調べていたら君達に辿り着いた。,我听说有个在奇怪的流浪者正在「寻找自我」……\n查着查着就找到你们了。
22,バロワ/巴洛瓦,事情はだいたい把握している！\n君達の探し物を手伝おう！,事情我大致了解了！\n我来帮你们找东西吧！
23,ファルシュ,いや、オレはいいよ。\nそろそろサザクの街に戻らないと。,不了，我就不用了。\n我差不多该回萨扎克市去了。
24,サリエル/沙利叶,そう……\nまた会える？,这样啊……\n我们还能再见面吗？
25,ファルシュ,案外すぐにね。,说不定很快就会。
26,ファルシュ,またね、サリオ君。\nお互いに頑張ろうじゃないか！,回头见，沙利欧君。\n让我们各自加油吧！
30,,ファルシュは\nよろめきつつ立ち上がり、\n酒場を後にするのだった。,法尔什踉跄着站起身，\n离开了酒馆。
36,,翌朝──\nサリエルはバロワと共に、\nとある男性を尾行していた。,翌日清晨——\n沙利叶与巴洛瓦正一同\n跟踪一名男性。
42,バロワ/巴洛瓦,助かるよ、サリエル君。\nふたりなら見張りを交代できる。,帮大忙了，沙利叶君。\n两个人的话就能轮换监视了。
43,サリエル/沙利叶,うん……\nでも浮気調査をすると、\n自分探しがわかるの？,嗯……\n但是调查别人出轨\n能找到自我吗？
44,バロワ/巴洛瓦,はっはっは！\nもちろん直接関係はない。,哈哈哈！\n当然没有直接关系。
45,バロワ/巴洛瓦,だが探し物に関して言えば、\n俺には持論があるのだ。,不过，关于找东西这件事，\n我有一套自己的理论。
46,サリエル/沙利叶,持論……？,理论……？
47,バロワ/巴洛瓦,よいかね、サリエル君。\n探し物というやつは、\n忘れた頃に見つかるものだ。,听好了，沙利叶君。\n你要找的东西\n总会在不经意间出现。
48,バロワ/巴洛瓦,万年筆とか家の鍵とか、\n虹クワさんとかな。,比如钢笔、家里的钥匙、\n还有虹锹先生之类的。
