id,name,text,trans
0-chapter_name,,雲外蒼天,云外蓝天
0-synopsis,,偶然クルスに出会ったモルドレッドは、「前のクルス」と比べてしまったことを謝罪。ふたりは改めて握手を交わした。その後、モルドレッドは自室にてグリフィスとの会話を通し、王としての目標を見つける。そして、自室を訪ねてきたロウリーに辛く当たったことを詫び、これからのことを一緒に考えてほしいと頼む。この国を平和で豊かな国にする──新たな目標を定め未来を見据える瞳は決意の輝きに満ちていた。,莫德雷德偶然遇到库鲁斯，为自己曾拿他与「过去的库鲁斯」相比较而道歉。两人重新握手认识。之后，莫德雷德在房间里通过与格里菲斯的对话，找到了作为国王的目标。他还向来到房间的罗利道歉，为之前对他态度不好而表示歉意，并请求他一起思考未来的方向。让这个国家成为和平富饶之国——确立了新目标的莫德雷德，眼中充满了决意的光芒。
1,クルス/库鲁斯,…………,…………
2,モルドレッド/莫德雷德,クルス？\nなんでこんなとこに……,库鲁斯？你怎么会在这里……
3,,書庫から自室へ戻る途中、\nモルドレッドは長い廊下の先に\nクルスの姿を見つけ駆け寄った。,在从书库回房间的途中，\n莫德雷德发现库鲁斯正站在长廊的远处，\n便跑去他身旁。
4,クルス/库鲁斯,……なにかあったのか？\n前に会った時と比べて目が腫れてる。,……发生了什么事吗？\n比起上次见面时，你的眼睛有些红肿。
5,モルドレッド/莫德雷德,あー……うん、ちょっとな。,啊——……嗯，算是吧。
6,,曖昧に笑って誤魔化した\nモルドレッドは、\nふと僅かに視線を落とす。,莫德雷德含糊地笑了笑，\n想要掩饰过去，\n随即又微微垂下目光。
7,モルドレッド/莫德雷德,あのさ、クルス……\nオレ、オマエに謝んなきゃ\nいけないことがあるんだ。,那个啊，库鲁斯……\n我有一件事必须向你道歉。
8,モルドレッド/莫德雷德,オマエの目が覚めた時……\nオレ、オマエにすげー嫌なことを\n言おうとした。,在你醒来的时候……\n我差点对你说出非常过分的话。
9,クルス/库鲁斯,嫌なこと？,过分的话？
10,モルドレッド/莫德雷德,……前のクルスだったら、って。\n全部忘れちまったとしても、\n今のオマエもクルスなのに。,……我差点说，如果你是以前的库鲁斯，\n这样的话。虽然你忘记了所有，\n但现在的你也是克鲁斯啊。
11,モルドレッド/莫德雷德,誰かの代わりにされるのを\n嫌がってたオレが、同じことを\nオマエにもしようとしたんだ。,我自己也讨厌被别人当作替身，\n却差点对你做了同样的事。
12,,沈黙を続けるクルスに\n気まずさを覚えたモルドレッドは、\n目を逸らしながら小さく息を吐く。,面对沉默不语的库鲁斯，\n莫德雷德感到一阵尴尬，\n他移开视线，轻轻叹了口气。
13,モルドレッド/莫德雷德,……ごめんな。\nオマエだってこんな話聞かされて、\nいい気はしないだろ。,……对不起。\n听我说这些，你心里\n肯定也不舒服吧。
