id,name,text,trans
0-chapter_name,,騎空士の代行依頼,骑空士的代理委托
0-synopsis,,尸魂界からやってきた一護達は、元の世界に帰還するための門が開くまでの間、騎空団に身を置くことになった。折しも依頼が重なり、人手が足りないと困っている姬塔を見兼ね、一護は手伝いを申し出る。こうして行商人の護衛任務に同行した一護は、山賊を警戒しながら、森を進む。すると、どこからか悲鳴が聞こえてくる。一護は行商人を姬塔に任せ、単身で駆けだしていくのであった。,从尸魂界来到此地的黑崎一护等人，在返回原本世界的门开启之前，暂时寄居于骑空团中。恰逢委托堆积如山，看到姬塔为人手不足而发愁，一护主动提出帮忙。就这样，一护随行参加了护卫行商人的任务，众人一边警戒着山贼，一边在森林中前进。此时，不知从何处传来了惨叫声。一护将行商人托付给姬塔，独自一人飞奔而去。
1,,<ruby class='scene-font-katari'>尸魂界<rt>ソウル・ソサエティ</rt></ruby><span class='scene-font-katari'>からやってきた黒崎一護達は、</span>\n<span class='scene-font-katari'>空の世界の住人である</span>\n<span class='scene-font-katari'>姬塔一行と協力し──</span>,来自<ruby class='scene-font-katari'>尸魂界<rt>Soul Society</rt></ruby>的黑崎一护等人，\n与空之世界的姬塔一行人携手合作——
2,,<ruby class='scene-font-katari'>尸魂界<rt>ソウル・ソサエティ</rt></ruby><span class='scene-font-katari'>からやってきた黒崎一護達は、</span>\n<span class='scene-font-katari'>空の世界の住人である</span>\n<span class='scene-font-katari'>姬塔一行と協力し──</span>,来自<ruby class='scene-font-katari'>尸魂界<rt>Soul Society</rt></ruby>的黑崎一护等人，\n与空之世界的姬塔一行人携手合作——
3,,名も存在も忘れ去られた刀に\n「朔凪」という真名を思い出させ、\n無念を弔った。,让那柄连名字与存在都已忘却的刀\n回忆起了「朔凪」这一真名，\n并吊唁了其遗恨。
5,,そしていま、元の世界に帰還するための\n門が開くまでの間、\n騎空艇に身を置くことに──,而如今，在返回原本世界的\n门扉开启之前，\n他们暂且栖身于骑空艇上——
10,ルリア/露莉亚,本当にお疲れ様でした！\nみなさんのお部屋も用意しましたので、\nのんびりと過ごしてくださいね。,真的是辛苦各位了！\n大家的房间也已经准备好了，\n请在这里悠闲地休息吧。
11,ビィ/碧,なぁ、何か飲むか？\nもし腹が減ってるなら、\n食堂もあるから案内するぜ？,喂，要喝点什么吗？\n要是饿了的话\n船上也有餐厅，要我带你们去吗？
12,黒崎一護,至れり尽くせりなのはありがてえけど、\nアンタ達だって疲れてんだろ？\nゆっくり休めって。,很感谢你们招待这么周到，\n但你们自己也都累了吧？\n都去好好休息吧。
13,ルリア/露莉亚,ありがとうございます！\nもちろん私達も休みますけど……,谢谢你！\n我们当然也会休息的，不过……
14,ルリア/露莉亚,まずは、空の世界を\n救ってくれたみなさんに\nお礼をさせてください！,首先请允许我们\n向拯救了空之世界的\n大家致以感谢！
15,黒崎一護,何言ってんだ。俺らの力だけじゃねえ。\nみんなで助け合ったから\nどうにかできたんだろ。,说什么呢。不只是靠我们几个的力量。\n大家一起互相帮助\n才能共度难关啊。
16,カシウス/卡西乌斯,それも事実だろう。だが今回の戦いは\n間違いなくお前達……異世界からの\n来訪者の功績が大きいのは明らかだ。,这固然是事实。但此次战斗，\n毫无疑问是你们……来自异世界的\n访客们功绩最为卓著。
17,カシウス/卡西乌斯,にもかかわらず、その謙虚な姿勢は\n姬塔に通ずる\n思考に近いと推測できる。,即便如此，你这谦逊的态度，\n倒是与姬塔的思维方式\n颇为相近。
18,カシウス/卡西乌斯,フッ、興味深い。,呵，真有意思。
19,黒崎一護,俺からすりゃ、\nアンタの方が興味深いぜ。,在我看来，\n你这家伙才更有意思呢。
25,,その時、うんうんと唸りながら、\n姬塔がやってくる。,就在这时，姬塔一边嘟囔着什么\n一边走了过来。
26,カシウス/卡西乌斯,どうした。姬塔。\n何か問題が生じたか。,怎么了，姬塔。\n出什么问题了吗？
27,,姬塔は依頼が書かれた\nメモをカシウスに手渡す。,姬塔将一张写着委托的\n便条递给卡西乌斯。
28,カシウス/卡西乌斯,ほう、依頼の日程が\nこうも多く重なったか。,哦，委托的日程\n竟然撞上了这么多吗。
29,ビィ/碧,多くって、どれぐらいだ？,很多吗，有多少件？
30,カシウス/卡西乌斯,10件。,十件。
31,ルリア/露莉亚,<span class='scene-font-4'>じゅ、10件！？</span>\nそんなにたくさん！？,<span class='scene-font-4'>十、十件！？</span>\n有那么多吗！？
32,カシウス/卡西乌斯,これまで引き受けた依頼の頻度、\n解決に要した時間を鑑みるに\n平時ならば起きえない事態だ。,考虑到我们承接委托的频率\n和解决所需的时间来看，\n这在平时是不可能发生的事态。
33,ルリア/露莉亚,もしかして……\n今回の騒動がなければ……,难道说……\n如果没有这次的骚动的话……
34,カシウス/卡西乌斯,ああ。前倒しできるものは、\n済ませておいただろうな。,嗯。那些可以提前处理的\n应该早就办完了。
35,黒崎一護,…………,…………
36,ビィ/碧,なぁ、姬塔どうする？\nいくつか日を改めてもらうか？,我说，姬塔你打算怎么办？\n要不延期几件吗？
37,カシウス/卡西乌斯,それも視野に入れるべきかもしれん。\nだが、不可能ではない。,或许也应该考虑这个选项。\n不过，也并非不可能完成。
38,カシウス/卡西乌斯,姬塔、\n団員達の得手不得手を見極め、\n総出で対処するのはどうだろうか。,姬塔，\n不妨先摸清团员们的长处与短处，\n然后全员出动应对如何？
39,黒崎一護,相談中悪ィけどよ。\nその依頼ってのは一体なんなんだ？,不好意思打断你们商量。\n你们说的「委托」到底是什么？
40,ルリア/露莉亚,国とか、お店とか……色んな人から\nお願いされるお仕事のことです！,有的来自国家、有的来自商店……\n各种人发来的委托工作！
