id,name,text,trans
0-chapter_name,,第1話 人と人,第1话 人与人
0-synopsis,,即位後、ヒベルグライフの民から向けられる期待に複雑な想いを抱きつつ、一度決めたことはやり遂げると気を引き締めるモルドレッド。そしてマーリンから受け取ったクラレントでグリフィスと手合わせすることを楽しみにしつつ、アーサーはどうしているかと思いを馳せた。一方フェードラッヘのアーサーは、勉学の合間に鍛練場で一心不乱に剣を振っていたところを、トネリロ、ヘンリーに呼ばれるのだった。,即位后，面对海伯格莱夫民众寄予的期待，莫德雷德心情复杂，但还是振作精神，决意将已经决定的事贯彻到底。他期待着用梅林交给自己的克拉伦特与格里菲斯切磋，同时也不禁挂念起亚瑟的近况。另一方面，身在菲德拉赫的亚瑟趁学习的间隙来到训练场，正一心一意地挥剑时，托涅利罗和亨利找了过来。
1,,モルドレッドは、椅子の背に\nだらりと身体を預けて天井を仰いだ。,莫德雷德瘫靠在椅背上，仰头望着天花板。
2,モルドレッド/莫德雷德,あーあ、オマエの言う通りだよ。,唉——你说得没错。
3,モルドレッド/莫德雷德,オレはさ、誰かとじっくり\n会話してわかりあうとか……\nそういうの、正直苦手なんだよ。,我啊，最不擅长的就是跟别人静下心来交谈，\n再相互理解什么的……\n说实话，真的很难应付。
4,モルドレッド/莫德雷德,アーサーは、うまいんだけどな。\nアイツなら……,亚瑟倒是很擅长。\n如果是他……
5,モルドレッド/莫德雷德,（アイツ、いつも知らないうちに\n誰とでも仲良くなってた）,（他总能在不知不觉间\n跟任何人打成一片。）
6,モルドレッド/莫德雷德,（そんなアイツと一緒にいたから、\nオレは、人間関係で努力する\n必要なんてなくて……）,（因为一直有他陪在身边，\n我根本就不需要费心\n去经营什么人际关系……）
7,モルドレッド/莫德雷德,オレは気に入らない奴を\nぶん殴ってわからせる方が\n断然得意。本当はな。,我还是更擅长把看不顺眼的家伙\n揍一顿，让他长长记性。\n这才是我的本行。
8,獅子王グリフィス,左様ですか。,原来如此。
9,モルドレッド/莫德雷德,でも……苦手だからって\n避けてられるような余裕なんて\n今はないから。,但是……现在可不能因为不擅长\n就一直逃避下去。
10,モルドレッド/莫德雷德,まず、マーリンの協力は\n絶対に必要だろ。\nできることから、やんねぇと……,首先，梅林的协助必不可少。\n得从能做的事开始，一件件去做……
11,モルドレッド/莫德雷德,苦手なことでも、\n無理なことでも……,哪怕是不擅长的事，\n哪怕是做不到的事……
14,ヒベルグライフ国民１,まさか、ウリエンス様のご子息が\n生きていらっしゃったなんてのぉ！,真没想到，乌利艾斯大人的公子\n竟然还活着啊！
15,ヒベルグライフ国民２,これでヒベルグライフは蘇る。\nきっとな！,这样一来，海伯格莱夫就能复兴了。\n一定能！
