id,name,text,trans
0-chapter_name,,トロイメライと王冠,梦幻曲与王冠
0-synopsis,,禁書庫で情報を探し続けるヴァイトは、自分が間違った行動をとっているのではないかと思い悩む。しかしかつてクイーンに言われた「信じて」という言葉を思い出し、その記憶に励まされて見事目当ての情報を発見した。ヴァイトはヴァンピィに「クイーンの復活は成し得ない」と告げ、その証明をするからついてきてほしいと頼む。ヴァンピィはヴァイトを信じ、それに頷くのだった。,斑特在禁书库中持续搜寻情报，却烦恼着自己是否采取了错误的行动。然而，他回想起曾经女王对他说过的「相信我」这句话。受到那段记忆的鼓舞，他终于成功找到了目标信息。斑特告诉斑比「女王不可能复活」，并请她跟随自己一同去证明这一点。斑比选择相信斑特，同意前往。
1,,ヴァイトはコンサートで発生した\n誘拐事件の解決のため、\n手掛かりを探して禁書庫へ籠っていた。,斑特为了解决音乐会上发生的绑架案，\n将自己关在禁书库中\n寻找线索。
2,,夜を徹して\n資料に目を通していたが──,虽然他通宵\n翻阅资料──
3,ヴァイト/斑特,（もう一日半になるのに、\nまだ何も見つけられていない……）,（已经过去一天半了，\n还是什么都没找到……）
4,ヴァイト/斑特,（定期的にヴァンピィが現状を\n教えに来てくれるが……）,（虽然斑比会定期\n来向我传达现状……）
7,ヴァンピィ/斑比,……やっぱり、宿に泊まってる\n外の人達は\nみんなシュンとしてる。,……果然，住在旅馆里的\n那些外来人类\n一个个都无精打采的。
8,ヴァンピィ/斑比,たぶん、いっぱい怖いんだと思う……\n早く、みんなを\n元気ぃにしてあげたいな……,我想他们一定都很害怕……\n好想快点\n让大家打起精神来啊……
11,ヴァイト/斑特,（ヴァンピィとベス……\n姬塔サン達は\n滞在者達の不安を鎮めるので精一杯だ）,（斑比和贝丝……\n姬塔他们也\n正竭尽全力安抚滞留者的不安）
12,ヴァイト/斑特,（むしろよくやってくれている。\n彼らがいなければ、諍いが起きても\nおかしくはなかった……）,（他们已经做得非常好了。\n如果没有他们在，\n就算发生争执也不足为奇……）
