id,name,text,trans
0-chapter_name,,第12章　結束,第12章 团结
0-synopsis,,ネルガルはルイーズに、星影の騎空団と衝突することで団員達を鍛えてほしいと言う。承諾するルイーズの見せた静かなどう猛さに、ネルガルは彼女がメイガスから暗示をかけられた可能性を危惧する。時は現在に戻り、サンダルフォンとフーゲルの尾行者がネルガルだったと判明。人間不信から無礼を働くルイーズに対して、フーゲルは口を開くのだった。,内尔伽勒希望路易丝通过与星影骑空团发生冲突来锻炼团员。路易丝答应了这个请求，却显露出一种静默的凶悍，令内尔伽勒担心她可能受到了梅嘉丝的暗示。时间回到现在，众人明白了跟踪圣德芬和弗戈尔的人正是内尔伽勒。面对因不信任人类而出言不逊的路易丝，弗戈尔开口了。
1,レイチェル,そんで、なんでこいつはこの街で\nひとり自警団みたいなことをしたんだ？,所以，这家伙为什么要在这座城里\n一个人干起警备队的活儿？
2,ネルガル,ああ、それなんだがなぁ……,哦，这个嘛……
8,ネルガル,この部屋なら誰も知らん。\n俺のセーフハウスってヤツだ。,这个房间没有人知道。\n算是我的安全屋吧。
9,ユバ＝ルイーズ,あんたは私になにをやらせたいんだ？,你想让我做什么？
10,ネルガル,そうだなぁ。\n最終的に星影の騎空団と衝突して、\nあいつらを鍛えてほしいんだが……,这个嘛。\n根本上，我是想让你和星影骑空团发生冲突，\n锻炼一下他们……
11,ユバ＝ルイーズ,役場の人が言ってたな。\nこの街の自警団だって。,镇公所的人说过，\n他们是这座城的警备队。
12,ネルガル,要は鬼ごっこさ。\nお前さんを捕まえられるぐらいに\nなってほしいと思ってるんだが……,说白了就是捉迷藏。\n我想让他们成长到\n足以抓住你的程度……
13,ネルガル,まぁ衝突させるには\n同じことをするのが\nもっとも手っ取り早いな。,要让你们起冲突，\n最简单的办法就是\n让你们做同样的事。
14,ネルガル,ひとつの集団ってのは、\n同じことをする集団と対立するもんだ。\nその習性を利用する。,一个团体往往会和\n做同样事情的团体对立。\n我要利用这种性质。
15,ユバ＝ルイーズ,私はひとりだよ。\n集団じゃない。,我是孤身一人。\n没有什么团体。
16,ネルガル,ガハハッ！　寂しいこと言うなよ。\nこれからは俺がついてるさ。,嘎哈哈！　这么说也太可怜了。\n往后有我陪着你。
17,ユバ＝ルイーズ,…………,…………
18,ネルガル,腹へってねぇか？\nとりあえずなにか食おうぜ。\nこう見えてもメシは作れるんだ。,你肚子饿不饿？\n总之先吃点东西吧。\n别看我一副大老粗的样子，饭还是会做的。
24,,ネルガルは慣れた手つきで\n簡単な料理を作り、\nふたりで食卓を囲んだ。,内尔伽勒熟练地\n做了几道简单的菜肴，\n两人一同围桌用餐。
25,ネルガル,お前さんは悪いヤツを片っ端から\nおしおきしてやるのがいいだろう。\nどんな人間が嫌いだ？,你就把那些坏蛋一个不漏地\n教训一遍好了。\n你讨厌什么样的人？
26,ユバ＝ルイーズ,差別する人。,歧视别人的人。
27,ネルガル,差別か……,歧视吗……
28,ユバ＝ルイーズ,なんだい？,怎么？
29,ネルガル,俺もかつては空の民じゃなかったんだ。\nいろいろあったなと思ってよ……,我以前也不是空之民。\n只是想起过去，有些感慨罢了……
30,ユバ＝ルイーズ,あんたも？\n石を投げられたり……とか？,你也是？\n你也被人扔过石头……吗？
31,ネルガル,しょっちゅうだな。\n銃で撃たれたこともあったぜ。,那是家常便饭。\n我还被枪打过呢。
32,ユバ＝ルイーズ,ひどいな、それは……,那也太过分了……
33,ネルガル,みんなが俺を恐れていたことが原因だ。\nなにしろこの世界の敵だったからよ。\nま、当時から気にしちゃいなかったが。,因为他们都在怕我。\n毕竟我曾是这个世界的敌人。\n嗐，我当时也压根没放在心上就是了。
34,ユバ＝ルイーズ,よくわからないけど、あんたは強いな。\n……それに比べて、私は弱いよ。,具体的我不懂，但你很坚强。\n……相比之下，我就很软弱。
35,ネルガル,弱いだ？　弱くなんてねぇだろ。\nラジエルから聞いたが、\n助けを求めて叫んだんだよな？,软弱？　你哪里软弱了。\n我听拉结尔说，\n你曾大声呼救，对吧？
36,ネルガル,勇気を振りしぼって\nちゃんと自分で行動を起こしたわけだ。\nそいつは強さの証のひとつだぜ。,你鼓起勇气，\n靠自己采取了行动。\n这就是一种坚强的证明。
37,ユバ＝ルイーズ,…………,…………
38,ネルガル,他に嫌いなヤツはいねぇのか？,你还有其他讨厌的人吗？
39,ユバ＝ルイーズ,酔っ払い……\nあと、ナンパする人とか痴漢とか……\nケンカする人も嫌いだな……,醉鬼……\n还有搭讪的家伙、色狼……\n我也讨厌爱打架的人……
40,ネルガル,お、おお……\nまぁよくはねぇことだが、\n理由を聞いてもいいか？,哦、哦哦……\n这些人确实招人讨厌，\n但你能告诉我你的理由吗？
41,ユバ＝ルイーズ,そういうことをする人は、\n決まって私に対しても\nひどいことをするから……,做这些事的人，\n到头来无一例外也会\n对我做很过分的事……
42,ユバ＝ルイーズ,地の世界も空の世界も同じだ……\nこの世にはいい人と悪い人がいる。,地之世界和空之世界都一样……\n这世上有好人，也有坏人。
43,ユバ＝ルイーズ,そして私の周りに現れるのは、\n悪い人ばかりだ。\nだから私はヤツらを成敗するよ。,而出现在我身边的，\n却净是坏人。\n所以我要惩治他们。
44,ユバ＝ルイーズ,これも強さだよな？\nあんたもそう思うだろう？　ネルガル。,这也算是坚强的一种，对吧？\n你也这么认为吧？　内尔伽勒。
45,ネルガル,……よくわかった。\nじゃあそいつらでいい。\nやってみろや。,……我明白了。\n那就对这些家伙下手吧。\n就这么定了。
46,ネルガル,ただし、痛い目に遭わせるだけだ。\nお前さんの本気は\nそいつらを簡単に殺せるからな。,不过，你得点到为止。\n你要是动真格了，\n恐怕很容易闹出人命。
47,ユバ＝ルイーズ,わかってる。\n私もそこまでするつもりはない。\nけど……,我知道。\n我也没打算做到那种地步。\n不过……
48,ユバ＝ルイーズ,いまはこの力を使いたい気分なんだ。,现在我很想释放这股力量。
49,,静かなどう猛さを見せたルイーズは、\n床に横たわって丸くなると、\nすぐに目を閉じて眠ってしまった。,显露出静默凶悍之气的路易丝\n在地板上蜷成一团，\n很快便闭上眼睡着了。
50,ネルガル,（ありゃ！？　もう寝ちまった！）,（咦！？　这就睡着了！）
51,ネルガル,（しかし、こりゃ重症かもな。\nさてはメイガスに暗示をかけられたか。\nだが……）,（不过，她看起来有些魔怔了啊。\n莫非是梅嘉丝给她下了暗示？\n可是……）
52,ネルガル,いまはそれでいい。,现在这样就好。
53,ユバ＝ルイーズ,…………,…………
59,,ネルガルの話を聞き終えると、\nレイチェルは苛立ちを隠さず言った。,听内尔伽勒解释完缘由，\n蕾切尔毫不掩饰烦躁地开口了。
60,レイチェル,ほぼじじいが悪いってことだよな！？,说到底，基本全是你这老头的错吧！？
61,ネルガル,<span class='scene-font-4'>なに聞いてたんだ！</span>\n思い出が詰まった家をぶっ壊されて\n路頭に迷った俺が悪いだと！？,<span class='scene-font-4'>你到底听了个啥！</span>\n满载回忆的家被毁，\n流落街头的我反倒有错了！？
