id,name,text,trans
0-chapter_name,,第102章　決意の始まり,第102章 决心之始
0-synopsis,,ナル・グランデ空域のとある島では、ひとりの騎士が空を見上げ佇んでいた。その目には、ナル・グランデ空域にあるという罪を償うため、すべてを終わらせるという決意が浮かぶ。ただそびえ立つグレートウォールだけが、佇む騎士を見下ろしていたのだった。,在纳尔·格兰德空域的某座岛屿上，一位骑士正仰望着天空。映在他眼中的是无比坚定的决心，将要替这片纳尔·格兰德空域赎罪的决心。那座长城就这样耸立在那里，静静地俯视着这位骑士。
1,,<span class='scene-font-katari'>ナル・グランデ空域のとある島には、</span><br><span class='scene-font-katari'>ひとり佇み空を見やる男の姿があった。</span>,在纳尔·格兰德空域的某座小岛上，某个男人正静静地站在那里，看着天空。
2,？？？,ナル・グランデ空域には罪がある──,纳尔·格兰德空域有罪——
3,？？？,その始まりは、私も詳しくは知らない。,导致这一切的开端，其实就连我也不是太清楚。
4,？？？,しかしそれは、<br>私が生まれるよりもはるか昔から、<br>そこに在った。,毕竟那个东西，在我出生之前就已经存在了。
9,？？？,それは私達を睥睨するように、<br>常に高みから<br>ナル・グランデの空を見下ろしていた。,仿佛在睥睨着我们一般，它始终从高处俯瞰着纳尔·格兰德的天空。
10,？？？,私達はその呪いから逃れようと、<br>必死にあがいてきた。,为了逃离它的诅咒，我们做出了拼死的挣扎。
15,？？？,多くは望まない。<br>富も、名声も必要ない。<br>ただ当たり前に生きていたかった。,我想要的并不多。财富也好，名声也罢，这些都不需要。我只是想平凡地活下去罢了。
16,？？？,しかしそれを得るために、<br>私達は血塗られた道を選んだ。,但只是为了追求这一点，我们就走上了沾满鲜血的道路。
17,？？？,私達が選んだ道は、<br>決して多くの賛同を<br>得られるようなものではないだろう。,我们所选择的道路，也许永远不会得到大多数人的认可。
18,？？？,しかし、選んだのは私達だ。<br>誰かを恨むことは出来ない。,但是已经做出了选择的我们，谁都无法去怨恨。
21,？？？,そして全ては始まってしまった。,然后一切就开始了。
23,？？？,いや、この空がナル・グランデ空域と<br>呼ばれ始めた頃から、<br>すでに始まっていたのかもしれない。,不，或许在这片空域被称为纳尔·格兰德空域的时刻，就已经开始了。
24,？？？,しかし、私は終止符を打つ。<br>残された者として罪を雪ぎ、<br>次へと託していく。,但是，我会为这一切画上句号。我会作为遗留下来的一员赎清罪孽，并将之后的事托付给未来。
25,？？？,私が全てを終わらせる。<br>それが私に、私達に許された、<br>たった一つの償いだ。,我会结束这一切。这是我能让我——我们能被世人所原谅的，唯一补偿。
30,？？？,…………,…………
31,,<span class='scene-font-katari'>男はひとり、</span><br><span class='scene-font-katari'>決意を秘めた眼差しで空をあおぐ。</span>,说到这里，男人抬头看着天空，眼神中充满了决心。
35,,<span class='scene-font-katari'>ナル・グランデ空域を象徴する遺物は、</span><br><span class='scene-font-katari'>何も語ることはなく、</span><br><span class='scene-font-katari'>ただそこに在り続けていたのだった。</span>,那座象征着纳尔·格兰德空域的遗物只是静静地存在于那里，没有发出任何声音。
info,,,scene_cp102_q1_s10
