id,name,text,trans
0-chapter_name,,第101章　衝突,第101章　衝突
0-synopsis,,レム王国との戦闘の最前線に姿を現したギルベルトは、フォリアには罪があると呼びかける。その後カインは、フォリアこそがナル・グランデ空域に平和もたらした統一王国、トリッド王国を崩壊させた張本人である、という噂により、イデルバ軍の士気が低下していると報告を受けるのだった。,吉尔伯特突然出现在雷姆王国与伊德尔瓦战斗的最前线，并且宣称芙莉亚有罪。在那之后，该隐收到了军队因某个流言士气下降的报告。流言说芙莉亚本人，就是导致曾为这片纳尔·格兰德空域带来和平的统一王国——特里德覆灭的罪魁祸首。
12,,<span class='scene-font-katari'>姬塔達が後退した後も、</span><br><span class='scene-font-katari'>港では</span><br><span class='scene-font-katari'>イデルバとレムの戦いが続いていた。</span>,姬塔一行撤退后，伊德尔瓦与雷姆之间的战斗依然在港口持续着。
13,イデルバの将軍,無理に留まろうとするな！<br>奴らを引きつけながら、<br>緩やかに後退しろ！,不要强行抵抗！一边引诱他们，一边慢慢后退！
14,イデルバ王国兵１/伊德尔瓦王国兵１,はっ！,是！
16,イデルバの将軍,我々の部隊の仕事は、<br>ここまでで十分だろう。<br>あとは後ろの部隊に引き継いで……,我们部队的工作，应该就到此为止了。剩下的就交给后面的部队……
17,イデルバの将軍,ん？　あれは……,咦？那是……
23,,<span class='scene-font-katari'>その時、彼の目に最初に映ったのは、</span><br><span class='scene-font-katari'>禍々しく立ち上る</span><br><span class='scene-font-katari'>陽炎のような力の奔流だった。</span>,这时，最先映入他眼帘的，是散发着不祥气息的、如同蒸腾的暑气般升起的力量奔流。
24,,<span class='scene-font-katari'>その源に目を向け、</span><br><span class='scene-font-katari'>彼は驚愕の声を上げる。</span>,当他看向力量的源头，不由得惊叫出声：
25,イデルバの将軍,あ、あれは……！？,那、那是……！？
26,ギルベルト,…………,…………
27,イデルバの将軍,ギ、ギルベルト……！？<br>なぜ奴ほどの大物が、<br>こんな前線に……！？,吉、吉尔伯特……！？为什么像他这样的大人物，会出现在前线……！？
28,イデルバの将軍,<span class='scene-font-kokoro'>（しかし奴は、</span><br><span class='scene-font-kokoro'>国王にも匹敵するレムの重鎮だ。</span><br><span class='scene-font-kokoro'>ここで仕留めることが出来れば……）</span>,（但是不管怎么说，对于雷姆王国来说，他的重要程度能与国王匹敌。假如能在这里干掉他的话……）
29,イデルバの将軍,<span class='scene-font-4'>全軍に告ぐ！</span><br><span class='scene-font-4'>ギルベルトだ！　奴を狙え！</span><br><span class='scene-font-4'>これはまたとない好機だぞ！！</span>,通知全军！瞄准吉尔伯特！这是干掉他的最好机会！
30,,<span class='scene-font-katari'>将軍の指示に、</span><br><span class='scene-font-katari'>兵士達はすぐさま</span><br><span class='scene-font-katari'>ギルベルトに狙いを定める。</span>,士兵们听从了将军的指令，接连举起了手中的武器。
31,ギルベルト,ふふ……,哼哼……
32,,<span class='scene-font-katari'>どうしてギルベルトが</span><br><span class='scene-font-katari'>護衛も付けずに最前線に出てきたのか。</span>,为什么吉尔伯特会在没有任何护卫的情况下出现在最前线呢。
33,,<span class='scene-font-katari'>その理由を、イデルバの兵士達は</span><br><span class='scene-font-katari'>身をもって知ることとなったのだった。</span>,下一个瞬间，伊德尔瓦的士兵便以自己的身躯领会了其中缘由。
43,イデルバ王国兵１/伊德尔瓦王国兵１,ぐっ……がはっ……！,唔……噶哈……！
