id,name,text,trans
0-chapter_name,,第12章　結束,第12章 团结
0-synopsis,,フーゲルが自身の過去の話を通じてルイーズを諭すと、ルイーズも先刻の無礼を謝罪して心を開く。喜ぶネルガルだが、一方で、この島に眠る星晶獣は厄介だと話す。そしてサンダルフォンに「星晶獣を導く王となれ」と言うのだった。,弗戈尔以自己的往事开导了路易丝，路易丝也为方才的无礼道歉，向众人敞开了心扉。内尔伽勒对此十分高兴，却又表示沉睡在这座岛上的星晶兽极为棘手。随后，他对圣德芬说道：“你要成为引领星晶兽的王。”
1,コカ＝フーゲル/寇卡·弗戈尔,「コカ」という名は王族のものです。\n忌むべき偽りの名でありましたが、\nいまでは誇りを抱いております。,“寇卡”是王族之名。\n它曾是我深恶痛绝的虚假之名，\n如今却令我引以为傲。
2,コカ＝フーゲル/寇卡·弗戈尔,王たる父の生き様が、\n私の心にかけがえのないものを\n刻み込んでくれたから……,因为身为王者的父亲以其一生，\n在我心中留下了\n无可替代的珍宝……
3,コカ＝フーゲル/寇卡·弗戈尔,これが愚かな男……\nコカ＝フーゲルの、\n実にくだらない物語です。,这便是一个愚蠢的男子……\n寇卡·弗戈尔那\n无聊透顶的故事。
4,コカ＝フーゲル/寇卡·弗戈尔,父の苦労を考えることもできず、\n真相を明るみにすることもできず、\n王を継承することもできず……,我既未能体谅父亲的苦心，\n也未能揭开真相，\n更未能继承王位……
5,コカ＝フーゲル/寇卡·弗戈尔,私はただ偽物という役割に絶望して\n自暴自棄になっただけなのでしょうが、\nもはや糾弾してくれる民もおりません。,我不过是因自己扮演着冒牌货而绝望，\n继而自暴自弃罢了。\n如今，连声讨我的国民也已不在了。
6,サンダルフォン/圣德芬,偽物という役割……か。,冒牌货这一角色……吗。
7,コカ＝フーゲル/寇卡·弗戈尔,この話には３つの教訓があります。\n皆様、なにかわかりますかな？,这个故事中有三条教训。\n诸位可知是什么？
8,サンダルフォン/圣德芬,役割に関することだろう。\n自らが持つ役割の価値は\nその行動によって決まると。,是关于角色的吧。\n一个人所扮演的角色有何价值，\n取决于他的所作所为。
9,コカ＝フーゲル/寇卡·弗戈尔,その通りです。\n役割に本物や偽物という価値観は\nそもそもないのかもしれません。,正是如此。\n或许角色本就不该用\n真假来衡量其价值。
10,コカ＝フーゲル/寇卡·弗戈尔,大切なのはその役割を通して\nなにを成すかです。\n少なくとも民はそれを望んでいました。,重要的是借由这个角色\n成就何事。\n至少，国民所期望的是这一点。
11,コカ＝フーゲル/寇卡·弗戈尔,そういう意味では、\n父はもはや影武者を超え、\n本物の王になったのかもしれません。,从这个意义上来说，\n父亲或许早已超越替身，\n成为了真正的王。
12,パトリシア,あとは……\nし、真実が人を救うわけじゃない……\nとかでしょうか？,还有就是……\n真、真相未必总能拯救他人……\n是这样吗？
13,コカ＝フーゲル/寇卡·弗戈尔,ええ、まさしく。\n私は真相を明るみにすることが\n正義と考えていました。,是的，正是如此。\n我曾以为揭开真相\n便是正义。
14,コカ＝フーゲル/寇卡·弗戈尔,嘘は悪で、真実は正義と……\nしかし、間違っていました。\n真実が人を救うとは限らないのです。,谎言是恶，真相是正义……\n然而，我错了。\n真相未必能拯救人。
15,コカ＝フーゲル/寇卡·弗戈尔,さてルイーズ様、\nあとひとつの教訓がわかりますか？\n答えは他ふたつの中にあります。,那么，路易丝大人，\n您知道最后一条教训是什么吗？\n答案就藏在前两条之中。
16,ユバ＝ルイーズ,……なにが言いたいのかな？,……你到底想说什么？
17,コカ＝フーゲル/寇卡·弗戈尔,ではお話ししましょう。,那就让我来说明吧。
18,コカ＝フーゲル/寇卡·弗戈尔,世界は“善悪”や“真偽”、\n“悪と正義”などの二分法では\n決して語れないということです。,这世界绝不能以“善恶”或“真假”、\n“邪恶与正义”等\n二元对立来论断。
19,ユバ＝ルイーズ,…………,…………
20,コカ＝フーゲル/寇卡·弗戈尔,私の父は偽物の王でしたが、\n本物の責任を背負っていました。,我的父亲虽是冒牌的王，\n背负的责任却货真价实。
21,コカ＝フーゲル/寇卡·弗戈尔,民はどうでしょうか？\n王の血統に疑いが生じても、\nそこから目を背けました。,国民又如何呢？\n即便王室血统遭到质疑，\n他们也选择了视而不见。
22,コカ＝フーゲル/寇卡·弗戈尔,民もまた、\n騙されたただの被害者ではないのです。\nしかし、悪ともいえないでしょう。,国民同样不只是\n受人欺骗的无辜受害者。\n但也不能说他们是恶。
23,コカ＝フーゲル/寇卡·弗戈尔,嘘をつくことは本来ならば悪です。\n目の前の平和を守るために、\n誰もが嘘つきになったのがジャボです。,说谎原本是一种恶。\n可为了守住眼前的和平，\n贾博的每个人都成了说谎者。
24,コカ＝フーゲル/寇卡·弗戈尔,では、ジャボは悪の国家でしょうか？,那么，贾博是一个邪恶的国家吗？
25,ユバ＝ルイーズ,そんな風には思わないな……\n平和のためなら、仕方ないさ……,我不觉得……\n如果是为了和平，这也是没办法的事……
26,コカ＝フーゲル/寇卡·弗戈尔,ええ、誰もがそう答えるでしょう。\nつまり世界には白と黒では測れない\nグレーの部分があるのです。,是的，想必人人都会如此回答。\n也就是说，这世上存在着\n无法用黑白衡量的灰色地带。
27,コカ＝フーゲル/寇卡·弗戈尔,ルイーズ様の世界も同じこと。\nこれまでとてもひどい目にあったこと、\nご推察いたします。,路易丝大人的世界亦是如此。\n我想，您至今一定\n遭受过许多不公。
28,コカ＝フーゲル/寇卡·弗戈尔,ですが、ルイーズ様が仮にこの世界を\n善人と悪人だけで区別した場合、\n多くのものを見落とす恐れがあります。,但若路易丝大人将这世界\n仅仅划分为好人与坏人，\n恐怕会错过许多东西。
29,コカ＝フーゲル/寇卡·弗戈尔,そして完全な善人というのは、\nこの世界にそう多くないはず……,而完完全全的好人，\n想必在这世上也并不多见……
30,コカ＝フーゲル/寇卡·弗戈尔,そうなってしまっては、\nルイーズ様の世界は\n寂しいものになってしまうでしょう。,若是如此，\n路易丝大人的世界\n想必会变得十分寂寞吧。
31,コカ＝フーゲル/寇卡·弗戈尔,私はそれを懸念しているのです。,我所担忧的正是这一点。
32,ユバ＝ルイーズ,…………,…………
33,レイチェル,なぁ、ルイーズってのさ。\nあたしらはあんたの敵じゃないよ。\nあんたを差別もしない。,我说，路易丝啊。\n我们不是你的敌人，\n也不会歧视你。
34,レイチェル,クソじじいはあんたを\n戦力として数えているみたいだけど、\nムリに戦う必要なんてない。,那个臭老头似乎\n把你当成了战力，\n但你没必要勉强自己战斗。
