id,en,jp,trans
0-chapter_name,"66: Two Knights, Two Worlds",第66章　ふたりの騎士,第66章 两位骑士
0-synopsis,"姬塔 and company continue to wait for Walfried to arrive. His delayed arrival paired with a lack of information causes Lecia to become more concerned. Around the same time, Lyria senses the presence of a primal beast, but the feeling soon passes.",姬塔一行は<span class='scene-font-place'>ダイダロイトベルト</span>で碧の騎士ヴァルフリートの到着を待ち続けるも、全く音沙汰がない。父を想うリーシャの不安が次第に大きくなっていく中、ルリアは突如星晶獣の気配を感知する。待つことしかできないことに歯がゆさを覚えつつも、一行は魔物退治に精を出すのだった。,姬塔等人在抵达<span class='scene-font-place'>碎石环</span>后，等待着碧骑士瓦尔弗利德的到来。然而许久过去，他却仍然音讯全无。莉夏对父亲安危的担忧越来越重。这时露莉亚突然感知到了星晶兽的气息。一行人对于不得不被动等待的状况感到十分焦虑，但还是努力完成了驱除魔物的工作。
0,姬塔 and company help with Crew of Enforcer duties while they await the arrival of Blue Knight Walfried.,<span class='scene-font-katari'>碧の騎士ヴァルフリートの到着を待ち、</span><br><span class='scene-font-katari'>秩序の騎空団の仕事を手伝う</span><br><span class='scene-font-katari'>姬塔一行。</span>,<span class='scene-font-katari'>姬塔等人一边等待着</span><br><span class='scene-font-katari'>碧骑士瓦尔弗利德的到来，</span><br><span class='scene-font-katari'>一边协助处理着秩序骑空团的工作。</span>
1,"Although they've grown used to the island routine, Lecia seems unable to focus on her work.",<span class='scene-font-katari'>島の環境にも慣れてきたものの、</span><br><span class='scene-font-katari'>リーシャはどこか、</span><br><span class='scene-font-katari'>仕事に身が入らない様子だった。</span>,<span class='scene-font-katari'>尽管已经习惯了岛上的环境，</span><br><span class='scene-font-katari'>但是莉夏似乎还是会在执行任务时走神。</span>
2,...,…………,…………
3,"Hey, are you all right？",おい……大丈夫か？,喂，你还好吗？
4,"Uh, no. Well, I mean...",あ……いえ、その……,啊……不，那个……
5,"You're worried about Walfried, right？",やはり、<br>ヴァルフリート殿が心配か……？,果然还是在担心<br>瓦尔弗利德阁下的事情吗？
6,"W-well, uh, I mean... yeah.",そ、それは、えと、その……<br>……はい。,嗯……是的。
7,"Looking out into the void of the Grim Basin, Lecia begins to put her thoughts into words.",<span class='scene-font-katari'>遠く瘴流域を見つめ、</span><br><span class='scene-font-katari'>ぽつりぽつりとリーシャは話し始める。</span>,<span class='scene-font-katari'>眺望着远处的瘴流域，</span><br><span class='scene-font-katari'>莉夏开始断断续续地说出了自己的想法。</span>
