id,name,text,trans
10,,一行が見守る中、空図の欠片は\n光を帯び、一筋の閃光となって\n彼方まで瘴流域を切り裂く。,在一行人在注视下，空图碎片散发着光芒，\n汇成一道闪光射向远方，\n将瘴流域分为两半。
20,カタリナ/卡塔莉娜,これが……<span class='scene-font-spword'>空図の欠片</span>の力か。,这就是……<span class='scene-font-spword'>空图碎片</span>的力量吗。
21,スツルム/斯特姆,ようやく道が出来たんだ……\nさっさとあの馬鹿を助けに行くぞ！\n姬塔！,终于有路可走了，\n赶紧去救出那个笨蛋吧，姬塔！
28,,スツルムに続き、道へと足を踏み入れた\n姬塔達は、やがて\n堅牢な砦を見つけ侵入する。,姬塔等人跟在斯特姆后面\n踏上了空图碎片开辟的道路，\n最后找到了并入侵了那座坚固的堡垒。
39,,姬塔達が起こした騒動により\n慌ただしく駆け回る兵士達の様子を、\nイオ達は牢の中で眺めていた。,士兵们因姬塔等人引起的骚动\n慌忙地四处奔走起来，\n这幅景象被伊欧等人看在眼里。
40,イオ/伊欧,みんな行っちゃった……\nいったい何が起きてるの……？,人都走了诶。\n到底发生什么了？
41,ドランク/德朗克,んふふ～……\n来たんだろうね、助けがさ。,嗯哼哼……\n看来援军赶到了呢。
42,ドランク/德朗克,さって……！\nそれじゃ、僕達も行こっか！,好嘞！\n那么，我们也出发吧。
44,,ドランクはおもむろに、牢の扉の鍵を\n抱え込むようにして作業を始め、\nものの数秒で鍵を開けてしまった。,德朗克不慌不忙地，\n像是把牢门上的锁紧紧抱住一般开始动手，\n只花了几秒钟就把锁打开了。
45,ロゼッタ/萝赛塔,貴方、便利ね……,你还真是方便呢。
46,イオ/伊欧,っていうか、こんなこと出来ちゃうなら、\nあたし達が助けに来る必要\nなかったんじゃないの……？,话说，能做到这件事的话，\n我们根本没必要过来救你吧。
47,ドランク/德朗克,いや、捕まって困ってたのは、\nホントだよ～？,不，被抓之后确实很困扰哦~？
48,ドランク/德朗克,さ、それより、\nスツルム殿達と合流しなくちゃね！\nほら、急いで急いで！,好啦，比起这个，\n赶紧去和斯特姆阁下她们汇合吧！\n好了，快点快点！
49,,ドランクはイオ達を追い立てると、\nしかし、自分はその後を追うことなく、\nゆっくりと牢の前に出る。,德朗克催促着伊欧她们离开，\n但是自己却没有立刻从后面追上去，\n而是慢慢地走出牢房。
50,ドランク/德朗克,止めないでくれたのは、\n騎士サマなりの優しさかな……？,没有阻止我们\n是因为骑士大人的仁慈吗？
53,黄金の騎士/金骑士,彼らを見逃したことで、\n恩を売る気はありませんが……,我是没打算卖人情\n让他们逃走的。
54,黄金の騎士/金骑士,しかし、\n貴方が勝手に恩を感じるというのなら、\n私は大いに結構です。,不过，你要是自顾自地认为我对你有恩，\n对来我说也很不错。
55,黄金の騎士/金骑士,私は貴方の能力を買っています。\nだから一つ……\n仕事の話をしようじゃありませんか。,我认可你的能力。\n所以，想和你谈一件小小的工作。
56,,不敵な笑みを浮かべてみせる\n黄金の騎士アリアに、ドランクも\n興味を抱き口角を上げるのだった。,面对露出游刃有余笑容的金骑士，\n德朗克也饶有兴趣地扬起了嘴角。
63,ルリア/露莉亚,イオちゃん！　オーキスちゃん！\nオイゲンさんに、ロゼッタさんもっ！,伊欧！欧姬丝！\n欧根先生！萝赛塔小姐也！
64,ルリア/露莉亚,良かった……！\nみんな、無事だったんですね！,太好了！\n看来大家都没事呢！
65,スツルム/斯特姆,ドランクは……どうした？,德朗克他人呢？
66,イオ/伊欧,えっ？　あれ……？,咦？怎么回事？
67,イオ/伊欧,まさか……\n途中でここの兵隊さんに\n捕まっちゃったとか……！？,难道途中被这里的士兵抓住了吗？
68,スツルム/斯特姆,っ……！！,唔……！！
71,,その言葉に、イオ達がやって来た方向へ\n走り始めるスツルムを止めたのは、\n時間差で合流したドランクだった。,听到这话，斯特姆立刻转身\n跑向伊欧走来的方向，\n正好撞见了姗姗来迟的德朗克。
