id,name,text,trans
0-chapter_name,,第6話 熱と虹と愉快と逃避,第6话 热情、彩虹、欢乐与逃避
0-synopsis,,ファルシュに前を向いてもらいたいと考えたミカエル達。旧もぐら座のメンバーともう一度演劇が出来れば良い契機になるのではと考え、３人は劇団レイヴンを訪れダグラス達に事情を話す。すると、ダグラス達もまた、ファルシュと公演がしたいと思っていることが判明する。行方をくらませたままのファルシュを呼び出すため、ミカエルはある考えを述べるのだった。,米迦勒等人希望法尔什能够向前看。他们认为，若能让他再度与旧鼹鼠座成员一起演戏，或许会成为一个良机，于是三人前往渡鸦剧团，将事情的来龙去脉告诉道格拉斯等人。结果她们发现，道格拉斯等人也一直想和法尔什同台演出。为了把销声匿迹的法尔什引出来，米迦勒说出了一个主意。
1,,明くる日──\nウリエルキッチンには\n威勢のいい声が響いていた。,翌日——\n乌列尔厨房里响起了\n气势十足的吆喝声。
2,ウリエル/乌列尔,いくぜ！\nマッスル・クッキング！！,要上了！\n肌肉烹饪！！
3,ウリエル/乌列尔,ウリーッス！,乌列——好！
4,,ウリエルは雄叫びを上げると、\n素手で林檎を握り潰す。,乌列尔发出一声大吼，\n徒手将苹果捏得粉碎。
5,ウリエル/乌列尔,林檎の果汁を鍋に投入……\nこれが隠し味になる！,把苹果汁倒进锅里……\n这就是隐藏的美味秘诀！
8,ウリエル/乌列尔,<span class='scene-font-4'>完成！</span>\nウリエルカレーの出来上がりだ！,<span class='scene-font-4'>完成！</span>\n乌列尔咖喱出锅了！
9,ルリア/露莉亚,ついに……！\nついに新メニューができましたね！,终于……！\n终于做出新菜品了！
10,ビィ/碧,なんだかんだカレーは王道だよな！\n林檎を潰すパフォーマンスも、\n屋台でやったら目を惹くぜ！,说到底，咖喱果然是经典啊！\n徒手捏苹果的表演要是摆摊时来上一回，\n肯定特别吸睛！
11,ラファエル/拉斐尔,よくここまで辿り着いた。\nだが肉体を活かす発想はどこで得た？,汝终于走到了这一步。\n不过，活用肉体的点子是从何而来的？
12,ウリエル/乌列尔,いや……\n俺は普通にカレーを作ってたんだが、\n姬塔が──,不……\n我本来只是在正常做咖喱，\n是姬塔她——
13,,調理の最中、平然と林檎を\n素手で絞るウリエルの姿を見かけて、\n驚嘆の声を上げた姬塔。,烹饪途中，姬塔看到乌列尔\n若无其事地徒手挤压苹果，\n不禁发出了惊叹。
14,,その反応がきっかけで、\n肉体を活かす方針を見出したのだった。,正是姬塔的反应给了乌列尔启发，\n让他找到了发挥肉体优势的方向。
15,ウリエル/乌列尔,サンキュー！\n皆が付き合ってくれたお陰だぜ！,谢啦！\n多亏大家陪我忙活！
16,ウリエル/乌列尔,イベントまでに味は突き詰める……\nカレーを食って感想を聞かせてくれ。,活动开始前，我还会继续钻研味道……\n你们尝尝咖喱，再告诉我感想吧。
17,ウリエル/乌列尔,そこのお三方もな！,那边的三位也来尝尝！
18,,ウリエルの視線の先には、\nミカエル・サリエル・アズラエルが\n遠慮がちに座っていた。,顺着乌列尔的视线望去，\n只见米迦勒、沙利叶和亚兹拉尔\n正拘谨地坐在那里。
19,サリエル/沙利叶,ウリエル、ラファエル……,乌列尔、拉斐尔……
20,サリエル/沙利叶,あの時は助けてくれたのに、\n勝手に出て行ってごめん。,那时候你们明明帮了我，\n我却擅自离开，对不起。
21,ウリエル/乌列尔,まったくだぜ！\nお前のために作ったシチューが余って、\nラファエルと大食い大会だったんだ。,就是说啊！\n为你做的炖菜剩了一大锅，\n害我和拉斐尔展开了一场大胃王比赛。
22,ラファエル/拉斐尔,あれは元よりウリエルが\n張り切って作りすぎていたが……,那本就是乌列尔干劲太足，\n一不小心做多了……
23,ラファエル/拉斐尔,とにかく気にする事はない。\nサリエルが息災で何よりだ。,总之，汝不必介怀。\n沙利叶能够安然无恙，比什么都好。
24,ウリエル/乌列尔,今度は食ってくれよ？\nウリエルカレー！,下次可要来吃啊？\n乌列尔咖喱！
25,サリエル/沙利叶,うん……\n残さず食べる。,嗯……\n我会全部吃完。
26,ラファエル/拉斐尔,……ところで、もぐら座も\nサザクフェスティバルに\nエントリーしていたのだろう？,……话说回来，鼹鼠座也报名了\n沙扎克嘉年华吧？
27,ラファエル/拉斐尔,予期せぬ事態が起きたようだが、\nその枠は３人で舞台をするのか？,虽说似乎出了意外，\n那个名额会由你们三人登台吗？
28,サリエル/沙利叶,……どうだろう。\nそれもこれから皆で話す。,……不好说。\n这也得接下来和大家一起商量。
34,,ウリエルカレーを食べながら、\n３人はもぐら座の今後について語らう。,三人一边吃着乌列尔咖喱，\n一边谈起鼹鼠座今后的打算。
35,サリエル/沙利叶,もぐもぐ……\nファルシュは僕達の事を\n<span class='scene-font-spword'>「代替品」</span>だと言っていた。,嚼嚼……\n法尔什说我们是\n<span class='scene-font-spword'>「替代品」</span>。
36,サリエル/沙利叶,あ、おいしい……,啊，真好吃……
37,ミカエル/米迦勒,うむ……\n野菜の甘みを活かす技術は\nシチューで培ったものだな。,嗯……\n活用蔬菜甘甜滋味的手艺，\n是做炖菜时磨炼出来的吧。
38,ミカエル/米迦勒,しかし……\nたとえファルシュの脚本だとしても、\n妾達の「熱」は偽りでは無かろう。,但是……\n即便用的是法尔什的剧本，\n妾身等人的「热情」也绝非虚假。
39,アズラエル/亚兹拉尔,もぐもぐ～♪\nあの地下で過ごした時間は、\n本当に美味しかったよねえ。,嚼嚼～♪\n在那地下共度的时光，\n真的很有滋味呢。
