id,name,text,trans
0-chapter_name,,甘い香りに誘われ,被甜美的香气吸引
0-synopsis,,ある日、スカーサハはヘルエスより、スカーサハ専属の侍女としてエルバハを紹介される。スカーサハはエルバハがノイシュの母であることを見抜くが、エルバハはノイシュが国を滅ぼした罪を雪ぐまで母と名乗らぬ覚悟だという。それから暫くの後、スカーサハはバレンタインで賑わう街を見て興味を抱き、姬塔達を誘ってチョコレイ島へ向かうのだった。,某天，赫尔艾斯向斯卡哈介绍即将担任其专属侍女的埃尔芭哈。斯卡哈看穿了埃尔芭哈是诺伊修的母亲，但埃尔芭哈表示，在诺伊修洗清毁灭国家的罪孽之前，她已下定决心不以其母亲自居。那之后不久，斯卡哈看到因情人节而热闹非凡的街道，产生了兴趣，便邀请姬塔等人一同前往巧可力岛。
4,,意識を移すための少女の器を作り、\n姬塔達の旅に同行する\nことになったスカーサハ。,斯卡哈制作了用于转移意识的少女容器，\n并决定与姬塔等人同行。
9,,旅に出てからしばらく経った頃、\nアルスター島に戻っていた\nスカーサハをヘルエスが訪ねてきた。,踏上旅途后过了一段时间，\n赫尔艾斯前来拜访了\n返回阿尔斯特岛的斯卡哈。
10,,アルスター島の魔物達を鎮め、\n島の安寧を守る真龍ディアドラ、\nまたの名をスカーサハ。,镇压阿尔斯塔岛的魔物、\n守护岛屿安宁的真龙迪亚多拉，\n又名斯卡哈。
11,,彼女は本来の姿を隠し、\n少女の姿を取ってお忍びで\n島の各所へと足をのばしていた。,她隐藏原本的模样，\n化作少女微服私访，\n涉足于岛屿各处。
12,,スカーサハが元王城である会議所を\n住処と定めてしばらく経ったある日、\n元王女ヘルエスの来訪があった。,在斯卡哈决定将曾经的王城议事厅\n定为住处后的某一天，\n原王女赫尔艾斯前来拜访。
18,スカーサハ/斯卡哈,ふむ……吾専用の侍女、か。,唔……我的专属侍女吗。
19,ヘルエス/赫尔艾斯,はい。日頃スカーサハ様のお世話を\n担うだけでなく、不在の折に\n議会からの連絡を預かる者です。,是的。她不仅负责在平日里\n服侍斯卡哈大人，在您外出时，\n也会替您接收议会的联络。
20,ヘルエス/赫尔艾斯,島から仮の器へと\n意識を移される際に、真龍のお体を\nお守りする存在も必要かと。,我想在您将意识从岛上\n转移至临时容器时，\n也需要有人守护真龙的御体。
