id,name,text,trans
0-chapter_name,,変わらないでほしいもの,愿其不变的事物
0-synopsis,,合同遠征訓練から十数日後、アーサー、モルドレッド、クルス、トネリロは宝物庫周辺の掃除を引き受ける。するとそこへ城内で迷子になった様子のハーヴィンの男が現れる。警備の騎士達が男の言動を怪しんでいると、クルスが何かを感じ取り、男に「何者だ？」と問いかける。すると男がその場に融合種の群れを呼びだし、男の正体が結社のルーソルだと判明するのだった。,联合远征训练结束十余天后，亚瑟、莫德雷德、库鲁斯、托涅利罗承接了宝物库周边的打扫工作。此时，一名似乎在城堡内迷路的哈文族男子出现。警备的骑士们对男子的言行心生疑虑，库鲁斯则察觉到了什么，询问男子究竟是什么人。于是男子当场召唤出融合种群，男子的真实身份就此查明——正是结社的卢梭尔。
1,,合同遠征訓練から十数日後。\n怪我から快復したモルドレッドは\n騎士団に復帰した。,联合远征训练结束十余天后。\n伤愈康复的莫德雷德\n回归了骑士团。
2,,まだ本格的な訓練を控える必要は\nあるものの、体に負担の少ない雑務から\n積極的に参加するようになっていた。,虽然仍需避免正式的训练，\n但他已在对身体负担较小的\n杂务工作中积极参与。
3,アーサー/亚瑟,はぁー……\n掃除かぁ……,唉……\n打扫啊……
4,モルドレッド/莫德雷德,嫌そうな声出すなよ。\n宝物庫周辺を任せてもらえるってことは\nそれなりに信頼された証だろう？,别发出那么嫌弃的声音嘛。\n能把宝物库周边交给我们，\n也算是相当信任我们的证明吧？
5,トネリロ/托涅利罗,そういえば、宝物庫の方まで\n来たことはあんまりなかったかもね。\n重要な場所を任せてもらえて嬉しいな。,说起来，我们好像\n还没怎么来过宝物库这边呢。\n能被分配这么重要的地方，真高兴呢。
6,クルス/库鲁斯,ああ。,嗯。
7,アーサー/亚瑟,宝物庫ってあの奥の部屋だよな？\n警備の騎士が立ってる扉の……,宝物库就是里面那个房间吧？\n就是有警备骑士站着的门后面……
8,アーサー/亚瑟,（あそこに聖剣エクスカリバーが……）,（圣剑Excalibur就在那里……）
9,モルドレッド/莫德雷德,おいアーサー\nぼさっとしてないで手動かせって。,喂，亚瑟，\n别发呆了，快点动手打扫。
10,アーサー/亚瑟,あ……うん。,啊……嗯。
11,,モルドレッドに急かされるまま、\nアーサーは箒で隅の埃を掃いていく。,被莫德雷德催促着，\n亚瑟开始用扫帚清扫角落的灰尘。
12,アーサー/亚瑟,そういえば、宝物庫の中の掃除って\n俺達はやらなくていいのかな？,说起来，宝物库里面的打扫\n不用我们来吗？
13,モルドレッド/莫德雷德,そんなに聖剣が見たいのか？,你就那么想看圣剑吗？
14,アーサー/亚瑟,それもあるけど、\n単純にいつもどうしてるのかなって\n思っただけ。,虽然也有这个原因，\n不过我只是单纯在想\n平时是怎么打扫的。
15,,アーサー達の会話が聞こえたらしく、\n宝物庫を守っていた騎士達が\n４人のいる方へ歩いてきた。,似乎是听到了亚瑟等人的对话，\n看守宝物库的骑士们\n朝他们四人走了过来。
16,宝物庫を警備する騎士１,心配しなくても、\n中は定期的に掃除しているから\n君達は気にしなくていいぞ。,不用担心，\n里面会定期打扫，\n你们不用在意。
17,宝物庫を警備する騎士２,宝物庫の中の物は厳重に管理されて\nいるからな。中に入るには、\nカール国王陛下の許可が要るんだ。,宝物库里的宝物管理非常严格。\n若要进入，\n需要卡尔国王陛下的许可。
18,アーサー/亚瑟,そうなんですね。\nじゃあ大丈夫か……,原来是这样。\n那就没问题了……
19,トネリロ/托涅利罗,あれ？\n誰か来るよ。,咦？\n有人来了。
21,ハーヴィンの男/哈文族男子,おっかしいな～\n本当にこっちが玉座で合ってるのー？,好奇怪啊～\n这边真的是通往王座厅的方向吗～？
22,,トネリロが示した先では、\n変わった身なりをしたハーヴィンの男が\n首を捻りながら歩いてきていた。,在托涅利罗所指的方向，\n一名穿着奇特的哈文族男子\n一边歪头疑惑一边走来。
23,アーサー/亚瑟,騎士団の人じゃないみたいだね。\n誰かのお客さんかな……？,好像不是骑士团的人呢。\n是谁的客人吗……？
24,ハーヴィンの男/哈文族男子,あ！　ねぇねぇそこの金髪の君！\nここって城内のどの辺りなのか\n教えてくれる～？,啊！喂喂，那边那位金发的！\n能告诉我这里是城堡的哪个位置吗～？
25,アーサー/亚瑟,はい。\nここは宝物庫の前ですよ。,好的。\n这里是宝物库前面哦。
26,モルドレッド/莫德雷德,バカ！\nどこの誰かもわからねーヤツに\n宝物庫の場所を教えてんじゃねー！,笨蛋！\n别随便告诉来路不明的人\n宝物库的位置啊！
27,アーサー/亚瑟,あ、そっか。ごめん……,啊，对哦。抱歉……
