id,name,text,trans
0-chapter_name,,第4話 変な村,第4话 奇怪的村庄
0-synopsis,,村人達の事情を知った一行は、まくなぎ様の問題を解決し、生贄儀式を止めることを決意する。メグの捜索に向かうまりっぺ、サンチラ、しろっこと別れ、姬塔達はまくなぎ様の情報を求めてウェンツィー夫人の屋敷を訪ねる。しかし夫人は、生贄儀式の中止も情報提供も拒み、サクナに生贄となるべきだと迫るのだった。,在了解了村民的情况后，一行人决定解决蠛蠓大人的问题，并停止活祭仪式。与前去寻找梅格的玛丽佩、桑琪拉、白子分开后，姬塔等人为了打听蠛蠓大人的情报，前往了温茨夫人的宅邸。然而夫人拒绝了停止活祭仪式和提供情报，还强迫佐久奈成为祭品。
1,,周囲には重苦しい沈黙と、\n時折啜り泣くような声が\n広がっていた。,周围充满了压抑的沉默，\n时而传来抽泣般的声音。
2,ルリア/露莉亚,あの、姬塔……\n村のみなさんのことで、\n私達にできることはないでしょうか？,那个，姬塔……\n为了村里的大家，\n我们有没有什么能做的事情呢？
3,アートマン/阿特曼,ルリアくん、生贄にされかけてもまだ、\nキミは彼らを助けたいのかい？,露莉亚君，哪怕差点被当成祭品，\n你仍然想要帮助他们吗？
4,ルリア/露莉亚,それは……そうなんですけど、\nでも……！,这……确实如此，\n可是……！
4-sel1_txt,,祠を壊してしまった,是我们破坏了祠堂
4-sel2_txt,,メグはまくなぎ様といるかも,梅格可能和蠛蠓大人在一起
6,サンチラ/桑琪拉,はい……偽物に騙されたとはいえ\n私達にも責任の一端があることは\n事実ですから。,是的……虽然说是被冒牌货欺骗了，\n但我们也有责任，\n这是事实。
7,ビィ/碧,それに、こんな事情を聞いて村の奴らを\n見捨てるわけにはいかねぇだろ！,而且，听了这些情况后，\n我们可不能丢下村里的人不管啊！
9,ビィ/碧,ああ、メグのことも探さねぇとだし、\nついでにまくなぎ様の問題を\nどうにかするぐらいわけねぇぜ！,是啊，还得找到梅格，\n顺便解决一下蠛蠓大人的问题，\n这不算什么！
10,村長/村长,じゃが、まくなぎ様は強大じゃ……\nあなた方の力で\n太刀打ちできるかどうか……,但是，蠛蠓大人很强大……\n以你们的力量，\n能否与之抗衡……
11,しろっこ/白子,大丈夫だいじょーぶ、\nなんたってここにいる姬塔は\nすっごく強いんだから！,没关系没关系的，\n不管怎么说，\n这里这位姬塔可是非常强的！
12,ビィ/碧,なんたってオイラ達、\n暴走したリヴァイアサンと\n戦ったこともあるんだからよ！,不管怎么说，我们\n可是和暴走的利维坦战斗过的！
13,村長/村长,なんと、<span class='scene-font-place'>アウギュステ</span>の守り神と……！,竟然，和<span class='scene-font-place'>奥古斯特</span>的守护神……！
14,村人/村民,リヴァイアサンが暴れたとき、\n赤い竜を連れた騎空団が鎮めたって噂を\n聞いたことがあるな……,我曾听说过，利维坦暴走时，\n是一个带着红龙的骑空团\n将它镇压的……
15,,ざわざわとした波紋が\n村人達の間を巡っていく。,嘈杂的波纹\n在村民之间扩散开来。
16,,そして人々の間に静寂が戻ったとき、\n村長は決意を固めた様子で\n姬塔に向かい合っていた。,然后，当人们恢复寂静时，\n村长以坚定了决心的样子\n面对姬塔。
