id,name,text,trans
0-chapter_name,,紅き眼に映った蒼,红眸中映出的苍蓝
0-synopsis,,遥か昔、ヤチマは星晶獣の調査を主な目的として月から空の世界へ降り立った。しかし空の世界の時間感覚に合わせて膨大な情報を記録し続けた結果、ヤチマの記憶領域は致命的なまでに劣化してしまう。一時帰還の申し入れを月に伝えるも、月の時間感覚では返答が来る前にヤチマの寿命が尽きるほうが早いと思われた。そんなある日、ヤチマはひとりの少年と出会うのだった。,在遥远的过去，雅琪玛以调查星晶兽为主要目的，从月球降临空之世界。然而，为了配合空之世界的时间感知而持续记录海量信息，雅琪玛的记忆领域发生了致命的劣化。尽管她向月球传达了暂时归返的申请，但以月球的时间观念而言，恐怕在得到回复之前，雅琪玛的寿命就会先行耗尽。就在这样的某一天，雅琪玛邂逅了一位少年。
2,,それは、空の民の生よりも\n遥かに長い時を遡った昔──,那是比空之民的一生\n更为久远的往昔──
3,,空の世界から、\n星が去るよりもまだ前のこと。,比星之民离开空之世界\n更早之前。
9,,空の世界の遥か上空、\n荒涼たる月の世界は、今と少しも\n変わることなく存在していた。,在空之世界的遥远上空，\n那片荒凉萧瑟的月之世界\n与如今相比并无二致。
16,ヤチマ/雅琪玛,…………,…………
17,,紅い髪の少女は、\n空の世界を見下ろす月に存在する\nとある建物にいた。,红发少女身处能够俯瞰\n空之世界的某座月球建筑中。
18,ヤチマ/雅琪玛,…………,…………
19,,少女は、無機質な白い廊下を抜け\n大きな扉の前に辿り着く。,少女穿过无机质的白色走廊，\n抵达一扇巨大的门扉前。
20,ヤチマ/雅琪玛,"ﾝﾁｶﾆﾓﾁ, ｽｲﾀﾅｲﾄｶﾆﾐｷ ﾁｿｿｲﾄﾄ.","Yatima requesting access."
21,,少女の口から紡がれた音に反応して\n扉がひとりでに開いた。,对少女口中编织的音节产生回应，\n门扉自行打开了。
25,,扉をくぐって広い部屋に入ったところで\n少女は何かに気がついたように\n己の衣装の一部に触れる。,穿过门扉进入宽敞的房间后，\n少女像是察觉到了什么般\n触碰了自己衣装的一部分。
26,ヤチマ/雅琪玛,──多言語変換機、起動。\n入出力共に、フォッシルの言語に\n固定完了。,──多语言转换器，启动。\n输入输出均固定为\n化石语言，完成。
27,,少女が更に一歩踏み出そうとした時、\n背後から彼女と同じように\n部屋に入ってくる影があった。,就在少女正欲再迈出一步时，\n有一道身影出现在她身后，\n同样进入了房间。
31,エルド/埃尔德,こんにちは、ヤチマ。,你好，雅琪玛。
32,,少女は、然程驚く様子もなく\nゆっくりと振り返る。,少女并未显露多少惊讶之色，\n缓缓转过身来。
33,ヤチマ/雅琪玛,エルド……何故ここに？,埃尔德……你为什么在这里？
34,エルド/埃尔德,見送りにきたんだよぉ……\n君の旅立ちを。,我是来送行的哦……\n来送你启程。
35,ヤチマ/雅琪玛,必要はない。\nヤチマは、物見遊山に行くんじゃない。,没有必要。\n雅琪玛并非去游山玩水。
36,エルド/埃尔德,知ってるよぉ……\n月の民が、いつの日かあの空へと\n帰還するための調査だよねぇ……,我知道……\n是为了让月之民有朝一日\n重返那片天空而进行调查吧……
37,エルド/埃尔德,レリックの隷獣のさぁ……\nあちらでは星晶獣とかいうんだっけ？,调查遗物的隶兽……\n在那边是叫星晶兽来着？
38,ヤチマ/雅琪玛,ああ。\n大した脅威にはなりえないだろうが\n調査は必要だ。,嗯。\n虽然它们无法构成多大的威胁，\n但调查仍有必要。
39,エルド/埃尔德,機神を送り込んだだけでは\n足りないんだねぇ……,光是派遣机神还不够呢……
40,エルド/埃尔德,まあ本当は、興味があったんだぁ……\n僕は選考から漏れたから。,嗯，其实我也是有兴趣的啦……\n只是我在选拔中落选了。
