id,name,text,trans
0-chapter_name,,第4話 己,
0-synopsis,,ミカエルは艇底で、サリエルを見つける。様々な想いを抱えたまま言葉にしきれないサリエルを見て、ミカエルは『ベナスの探偵』を演じ始める。それにサリエルも乗り、ふたりは演技を通して心に向き合っていく。そうしてサリエルは、ピズマやベリアルと話をして、真意を教えてもらうと決意する。そんな時グランサイファーが揺れ、サリエルはピズマがベルソーを抱えて飛び去る姿を目撃するのだった。,
4,ミカエル/米迦勒,やはりここか。,
5,サリエル/沙利叶,……ミカエル。,
6,サリエル/沙利叶,どうして僕がここにいると？,
7,ミカエル/米迦勒,艇底に近い薄暗い空間……\n言わばここは「地下」だからな。,
8,サリエル/沙利叶,…………,
10,ミカエル/米迦勒,その瓶は何だ？\n虹色の砂で満ちているようだが……,
11,サリエル/沙利叶,……蟻が、見たかったんだ。,
12,ミカエル/米迦勒,蟻……？\nその瓶の中で飼っていると？,
13,サリエル/沙利叶,ううん……\n僕が逃がした。\nピズマから貰ったんだけど……,
14,ミカエル/米迦勒,それがいいだろう。\n妾も賛成だ。,
15,,ミカエルとサリエルは、\n湿った床にしゃがみ込んで、\n虹色の砂をじっと見つめる。,
16,ミカエル/米迦勒,……今度、演劇学校主催の舞台で、\n主演を務める運びになった。,
17,サリエル/沙利叶,別のバサーニを……？\nそれはおめでとう。,
18,ミカエル/米迦勒,貴様にはそれを伝えに来たのだ。\nもちろん席も空けておく。,
19,サリエル/沙利叶,伝えてくれてありがとう。\nでも席は埋まってる方がいいよ。,
20,ミカエル/米迦勒,いや……\nサリエルの分の席、\nという意味なのだが……,
21,,ミカエルは苦笑しつつ、\nサリエルの横顔を覗く。,
22,ミカエル/米迦勒,妾の話は終わりだ。\n次は貴様が話す番だ。,
23,サリエル/沙利叶,僕の……？,
24,ミカエル/米迦勒,好きなように話すといい。\n妾はただ聞いている。,
25,サリエル/沙利叶,…………,
26,サリエル/沙利叶,……笑っていなかったんだ。\nピズマが。,
27,サリエル/沙利叶,『虹』の向こう側に行きたがってた。\nその手がかりを見つけたのに。,
28,サリエル/沙利叶,一緒に旅をしてる時、\nピズマはいつも笑ってた。\n怒っていても、笑ってたと思う。,
29,サリエル/沙利叶,それなのに、\n目的が達成できそうになると……\n変な顔になった。,
30,ミカエル/米迦勒,…………,
31,サリエル/沙利叶,いつも、そうだ……,
32,サリエル/沙利叶,補佐官も、ピズマも、\n肝心な事は話してくれない。,
33,サリエル/沙利叶,僕の理解が変だから？\nでも話してくれないと分からない。\n僕はちゃんと分かりたいのに……,
34,ミカエル/米迦勒,サリエル……,
35,サリエル/沙利叶,僕は……蟻になりたい。\n何も悩まず命令に従う存在に──,
38,ミカエル/米迦勒,「ああ、アントよ。\n愚かな私の悩みを聞いてくれるか。」,
39,サリエル/沙利叶,…………！,
40,,突然、ミカエルは立ち上がり、\nサリエルに向かって手を差し出した。,
41,ミカエル/米迦勒,覚えているだろう？\n共に立ったあの舞台を。,
42,サリエル/沙利叶,『ベナスの探偵』……\nでもどうして……？,
43,ミカエル/米迦勒,さあ、サリオ。\n舞台上の貴様はアントだ。\nバサーニの友人、陽気な名探偵……,
46,サリエル/沙利叶,…………,
47,,サリエルはミカエルの手を取り、\n立ち上がって息を整える。,
48,サリエル/沙利叶,「ヨオ、バサーニ。\nヒサビサニアエテウレシイヨ。」,
49,ミカエル/米迦勒,フフ……\n棒読みに戻ったな。,
50,サリエル/沙利叶,久々だと余計に難しい。\nミカはもっと上手くなった。,
51,ミカエル/米迦勒,確かに勉強はしたがな。\nひとつ分かった事がある。,
52,ミカエル/米迦勒,演じる役柄の人物を、\nすべて理解する事はできない。,
53,サリエル/沙利叶,…………？,
54,ミカエル/米迦勒,貴様がなりたい蟻も、\n苦悩を抱えているのではないか？,
55,ミカエル/米迦勒,偵察が長距離で大変だとか、\n雨の日は憂鬱だとか……\n命令を聞くのが嫌だったりな。,
